,date,cases,diff
40,2021-03-13,11362732.982952448,27908.567533278838
41,2021-03-14,11391571.916731961,28838.933779513463
42,2021-03-15,11421334.909498481,29762.99276652001
43,2021-03-16,11452011.071693936,30676.162195455283
44,2021-03-17,11483728.74682435,31717.675130413845
45,2021-03-18,11516593.806344746,32865.05952039547
46,2021-03-19,11550715.444522822,34121.638178076595
47,2021-03-20,11586212.66497418,35497.22045135684
48,2021-03-21,11623198.742750693,36986.077776513994
49,2021-03-22,11661808.097172221,38609.354421528056
50,2021-03-23,11702188.811045092,40380.71387287043
51,2021-03-24,11744484.354328122,42295.54328303039
52,2021-03-25,11788840.326661497,44355.972333375365
53,2021-03-26,11835434.128710935,46593.80204943754
54,2021-03-27,11884602.105427708,49167.976716773584
55,2021-03-28,11936684.214390928,52082.10896321945
56,2021-03-29,11992076.107289938,55391.89289901033
57,2021-03-30,12051242.73191116,59166.624621221796
58,2021-03-31,12114651.922570229,63409.190659068525
59,2021-04-01,12182794.819916796,68142.89734656736
60,2021-04-02,12256194.555180896,73399.73526410013
61,2021-04-03,12335427.596792975,79233.04161207937
62,2021-04-04,12421131.837865105,85704.24107212946
63,2021-04-05,12513923.487570055,92791.64970494993
64,2021-04-06,12614475.006909478,100551.51933942363
65,2021-04-07,12723528.881980821,109053.87507134303
66,2021-04-08,12841890.440863492,118361.55888267048
67,2021-04-09,12970371.66128128,128481.22041778825
68,2021-04-10,13109486.092166528,139114.4308852479
69,2021-04-11,13259855.020849342,150368.92868281342
70,2021-04-12,13422152.26279322,162297.24194387905
71,2021-04-13,13597049.552341647,174897.28954842687
72,2021-04-14,13785230.872815859,188181.32047421113
73,2021-04-15,13987376.598398061,202145.7255822029
74,2021-04-16,14204144.339713614,216767.74131555296
75,2021-04-17,14436151.206636958,232006.8669233434
76,2021-04-18,14683873.453949543,247722.2473125849
77,2021-04-19,14947730.923296008,263857.46934646554
78,2021-04-20,15228061.825393533,280330.9020975251
79,2021-04-21,15524536.989289967,296475.163896434
80,2021-04-22,15836715.146597078,312178.1573071107
81,2021-04-23,16164149.030374229,327433.8837771509
82,2021-04-24,16506346.589643879,342197.5592696499
83,2021-04-25,16862679.999837227,356333.4101933483
84,2021-04-26,17231390.3427182,368710.34288097173
85,2021-04-27,17610772.03395616,379381.69123796
86,2021-04-28,17998757.198822036,387985.1648658775
87,2021-04-29,18393104.65005489,394347.4512328543
88,2021-04-30,18791785.256767597,398680.6067127064
89,2021-05-01,19192918.29469541,401133.0379278138
90,2021-05-02,19594752.58431218,401834.2896167673
91,2021-05-03,19995665.621247888,400913.0369357094
92,2021-05-04,20394168.482448902,398502.86120101437
93,2021-05-05,20788910.978021715,394742.49557281286
94,2021-05-06,21178684.717569124,389773.7395474091
95,2021-05-07,21562423.33232866,383738.6147595346
96,2021-05-08,21939199.868555658,376776.536226999
97,2021-05-09,22308221.73064768,369021.86209202185
98,2021-05-10,22668823.69584578,360601.9651980996
99,2021-05-11,23020459.54637179,351635.8505260125
