,date,deaths,diff
56,2021-03-29,162147.89588398728,363.38197181589203
57,2021-03-30,162531.94948157363,384.05359758634586
58,2021-03-31,162938.77090311077,406.82142153714085
59,2021-04-01,163370.84154536898,432.07064225821523
60,2021-04-02,163831.06615689464,460.22461152565666
61,2021-04-03,164322.64564655893,491.57948966429103
62,2021-04-04,164849.06656747567,526.4209209167457
63,2021-04-05,165414.14163937632,565.0750719006464
64,2021-04-06,166022.07138242765,607.9297430513252
65,2021-04-07,166677.51741860772,655.4460361800739
66,2021-04-08,167385.6803037478,708.1628851400746
67,2021-04-09,168152.25629693634,766.5759931885405
68,2021-04-10,168983.4726395599,831.2163426235784
69,2021-04-11,169885.98303645477,902.5103968948533
70,2021-04-12,170866.73234854106,980.7493120862928
71,2021-04-13,171932.8419820596,1066.1096335185284
72,2021-04-14,173091.4965197683,1158.6545377087023
73,2021-04-15,174349.86750707304,1258.3709873047483
74,2021-04-16,175715.0225476373,1365.1550405642483
75,2021-04-17,177193.81485892506,1478.792311287776
76,2021-04-18,178792.71210207848,1598.8972431534203
77,2021-04-19,180517.37854148707,1724.666439408582
78,2021-04-20,182372.55438899086,1855.1758475037932
79,2021-04-21,184362.02350866987,1989.4691196790081
80,2021-04-22,186488.5781695631,2126.55466089322
81,2021-04-23,188753.96156492637,2265.3833953632857
82,2021-04-24,191158.66681503426,2404.705250107887
83,2021-04-25,193701.96823038027,2543.30141534601
84,2021-04-26,196382.03012989435,2680.061899514083
85,2021-04-27,199195.98288512023,2813.9527552258805
86,2021-04-28,202140.04581809617,2944.0629329759395
87,2021-04-29,205209.66526209872,3069.619444002543
88,2021-04-30,208399.65378987815,3189.9885277794383
89,2021-05-01,211704.3236911491,3304.6699012709432
90,2021-05-02,215117.61072144684,3413.287030297739
91,2021-05-03,218633.1834341322,3515.57271268536
92,2021-05-04,222244.54043533254,3611.3570012003474
93,2021-05-05,225945.02404745968,3700.4836121271364
94,2021-05-06,229727.85009450465,3782.826047044975
95,2021-05-07,233586.0774224766,3858.227327971952
96,2021-05-08,237512.63160481415,3926.554182337539
97,2021-05-09,241500.32012444135,3987.688519627205
98,2021-05-10,245541.8058067655,4041.485682324157
99,2021-05-11,249629.59352065058,4087.7877138850745
100,2021-05-12,253756.09268532746,4126.499164676876
101,2021-05-13,257913.7028032461,4157.610117918637
102,2021-05-14,262094.89999608687,4181.197192840773
103,2021-05-15,266292.31583168946,4197.415835602587
104,2021-05-16,270498.8053680269,4206.489536337438
105,2021-05-17,274707.503702069,4208.698334042099
106,2021-05-18,278911.8712999289,4204.367597859935
107,2021-05-19,283105.72880759754,4193.85750766861
108,2021-05-20,287283.28223115456,4177.553423557023
109,2021-05-21,291439.13946287415,4155.857231719594
110,2021-05-22,295568.31916470174,4129.179701827583
111,2021-05-23,299666.25302168773,4097.933856985997
112,2021-05-24,303728.78235312254,4062.529331434809
113,2021-05-25,307752.15002339886,4023.3676702763187
114,2021-05-26,311732.9885326981,3980.8385092992103
115,2021-05-27,315668.30175344297,3935.3132207448944
116,2021-05-28,319555.4466667767,3887.144913333759
117,2021-05-29,323392.115033883,3836.668367106293
118,2021-05-30,327176.31453046214,3784.1994965791237
119,2021-05-31,330906.34934109484,3730.0348106327
120,2021-06-01,334580.78435931844,3674.435018223594
121,2021-06-02,338198.42623105587,3617.6418717374327
122,2021-06-03,341758.310192538,3559.883961482148
123,2021-06-04,345259.68474233575,3501.374549797736
124,2021-06-05,348701.98289900745,3442.2981566716917
125,2021-06-06,352084.80707418325,3382.8241751758032
126,2021-06-07,355407.91801152675,3323.110937343503
