,confirmed_death,confirmed_cases,date,state
407,0,3,2020-03-21,tn
408,0,24,2020-03-21,up
409,0,3,2020-03-21,ut
410,0,3,2020-03-21,wb
411,0,3,2020-03-22,ap
412,0,5,2020-03-22,ch
413,0,1,2020-03-22,ct
414,1,27,2020-03-22,dl
415,0,14,2020-03-22,gj
416,0,2,2020-03-22,hp
417,0,17,2020-03-22,hr
418,0,4,2020-03-22,jk
419,1,20,2020-03-22,ka
420,0,52,2020-03-22,kl
421,0,13,2020-03-22,la
422,1,63,2020-03-22,mh
423,0,4,2020-03-22,mp
424,0,2,2020-03-22,or
425,1,13,2020-03-22,pb
426,0,1,2020-03-22,py
427,0,24,2020-03-22,rj
428,0,21,2020-03-22,tg
429,0,6,2020-03-22,tn
430,0,25,2020-03-22,up
431,0,3,2020-03-22,ut
432,0,4,2020-03-22,wb
433,0,3,2020-03-22,ap
434,0,5,2020-03-22,ch
435,0,1,2020-03-22,ct
436,1,27,2020-03-22,dl
437,0,14,2020-03-22,gj
438,0,2,2020-03-22,hp
439,0,17,2020-03-22,hr
440,0,4,2020-03-22,jk
441,1,20,2020-03-22,ka
442,0,52,2020-03-22,kl
443,0,13,2020-03-22,la
444,2,63,2020-03-22,mh
445,0,4,2020-03-22,mp
446,0,2,2020-03-22,or
447,1,13,2020-03-22,pb
448,0,1,2020-03-22,py
449,0,24,2020-03-22,rj
450,0,21,2020-03-22,tg
451,0,6,2020-03-22,tn
452,0,25,2020-03-22,up
453,0,3,2020-03-22,ut
454,0,4,2020-03-22,wb
455,0,5,2020-03-22,ap
456,1,2,2020-03-22,br
457,0,5,2020-03-22,ch
458,0,1,2020-03-22,ct
459,1,29,2020-03-22,dl
460,1,18,2020-03-22,gj
461,0,2,2020-03-22,hp
462,0,21,2020-03-22,hr
463,0,4,2020-03-22,jk
464,1,26,2020-03-22,ka
465,0,52,2020-03-22,kl
466,0,13,2020-03-22,la
467,2,67,2020-03-22,mh
468,0,4,2020-03-22,mp
469,0,2,2020-03-22,or
470,1,21,2020-03-22,pb
471,0,1,2020-03-22,py
472,0,24,2020-03-22,rj
473,0,22,2020-03-22,tg
474,0,7,2020-03-22,tn
475,0,27,2020-03-22,up
476,0,3,2020-03-22,ut
477,0,4,2020-03-22,wb
478,0,5,2020-03-23,ap
479,1,2,2020-03-23,br
480,0,5,2020-03-23,ch
481,0,1,2020-03-23,ct
482,1,29,2020-03-23,dl
483,1,18,2020-03-23,gj
484,0,2,2020-03-23,hp
485,0,21,2020-03-23,hr
486,0,4,2020-03-23,jk
487,1,26,2020-03-23,ka
488,0,67,2020-03-23,kl
489,0,13,2020-03-23,la
490,2,67,2020-03-23,mh
491,0,6,2020-03-23,mp
492,0,2,2020-03-23,or
493,1,21,2020-03-23,pb
494,0,1,2020-03-23,py
495,0,27,2020-03-23,rj
496,0,26,2020-03-23,tg
497,0,9,2020-03-23,tn
498,0,28,2020-03-23,up
499,0,3,2020-03-23,ut
500,0,7,2020-03-23,wb
501,0,5,2020-03-23,ap
502,1,2,2020-03-23,br
503,0,5,2020-03-23,ch
504,0,1,2020-03-23,ct
505,1,29,2020-03-23,dl
506,1,18,2020-03-23,gj
507,0,2,2020-03-23,hp
508,0,21,2020-03-23,hr
509,0,4,2020-03-23,jk
510,1,26,2020-03-23,ka
511,0,67,2020-03-23,kl
512,0,13,2020-03-23,la
513,2,67,2020-03-23,mh
514,0,6,2020-03-23,mp
515,0,2,2020-03-23,or
516,1,21,2020-03-23,pb
517,0,1,2020-03-23,py
518,0,27,2020-03-23,rj
519,0,26,2020-03-23,tg
520,0,9,2020-03-23,tn
521,0,28,2020-03-23,up
522,0,3,2020-03-23,ut
523,0,7,2020-03-23,wb
524,0,7,2020-03-23,ap
525,1,2,2020-03-23,br
526,0,6,2020-03-23,ch
527,0,1,2020-03-23,ct
528,1,29,2020-03-23,dl
529,1,29,2020-03-23,gj
530,0,2,2020-03-23,hp
531,0,26,2020-03-23,hr
532,0,4,2020-03-23,jk
533,1,33,2020-03-23,ka
534,0,67,2020-03-23,kl
535,0,13,2020-03-23,la
536,2,74,2020-03-23,mh
537,0,6,2020-03-23,mp
538,0,2,2020-03-23,or
539,1,21,2020-03-23,pb
540,0,1,2020-03-23,py
541,0,28,2020-03-23,rj
542,0,32,2020-03-23,tg
543,0,9,2020-03-23,tn
544,0,31,2020-03-23,up
545,0,3,2020-03-23,ut
546,0,7,2020-03-23,wb
547,0,7,2020-03-23,ap
548,1,2,2020-03-23,br
549,0,6,2020-03-23,ch
550,0,1,2020-03-23,ct
551,1,29,2020-03-23,dl
552,1,29,2020-03-23,gj
553,1,3,2020-03-23,hp
554,0,26,2020-03-23,hr
555,0,4,2020-03-23,jk
556,1,33,2020-03-23,ka
557,0,67,2020-03-23,kl
558,0,13,2020-03-23,la
559,2,74,2020-03-23,mh
560,0,6,2020-03-23,mp
561,0,2,2020-03-23,or
562,1,21,2020-03-23,pb
563,0,1,2020-03-23,py
564,0,28,2020-03-23,rj
565,0,32,2020-03-23,tg
566,0,9,2020-03-23,tn
567,0,31,2020-03-23,up
568,0,3,2020-03-23,ut
569,1,7,2020-03-23,wb
570,0,7,2020-03-24,ap
571,1,2,2020-03-24,br
572,0,6,2020-03-24,ch
573,0,1,2020-03-24,ct
574,1,31,2020-03-24,dl
575,1,29,2020-03-24,gj
576,1,3,2020-03-24,hp
577,0,26,2020-03-24,hr
578,0,4,2020-03-24,jk
579,1,37,2020-03-24,ka
580,0,95,2020-03-24,kl
581,0,13,2020-03-24,la
582,2,87,2020-03-24,mh
583,0,7,2020-03-24,mp
584,0,2,2020-03-24,or
585,1,21,2020-03-24,pb
586,0,1,2020-03-24,py
587,0,33,2020-03-24,rj
588,0,32,2020-03-24,tg
589,0,12,2020-03-24,tn
590,0,33,2020-03-24,up
591,0,3,2020-03-24,ut
592,1,7,2020-03-24,wb
593,0,8,2020-03-24,ap
594,1,3,2020-03-24,br
595,0,7,2020-03-24,ch
596,0,1,2020-03-24,ct
597,1,30,2020-03-24,dl
598,1,33,2020-03-24,gj
599,1,3,2020-03-24,hp
600,0,28,2020-03-24,hr
601,0,4,2020-03-24,jk
602,1,37,2020-03-24,ka
603,0,95,2020-03-24,kl
604,0,13,2020-03-24,la
605,2,89,2020-03-24,mh
606,0,1,2020-03-24,mn
607,0,7,2020-03-24,mp
608,0,2,2020-03-24,or
609,1,29,2020-03-24,pb
610,0,1,2020-03-24,py
611,0,32,2020-03-24,rj
612,0,35,2020-03-24,tg
613,0,15,2020-03-24,tn
614,0,33,2020-03-24,up
615,0,4,2020-03-24,ut
616,1,9,2020-03-24,wb
617,0,8,2020-03-24,ap
618,1,3,2020-03-24,br
619,0,7,2020-03-24,ch
620,0,1,2020-03-24,ct
621,2,30,2020-03-24,dl
622,1,33,2020-03-24,gj
623,1,3,2020-03-24,hp
624,0,28,2020-03-24,hr
625,0,4,2020-03-24,jk
626,1,37,2020-03-24,ka
627,0,95,2020-03-24,kl
628,0,13,2020-03-24,la
629,2,89,2020-03-24,mh
630,0,1,2020-03-24,mn
631,0,7,2020-03-24,mp
632,0,2,2020-03-24,or
633,1,29,2020-03-24,pb
634,0,1,2020-03-24,py
635,0,32,2020-03-24,rj
636,0,35,2020-03-24,tg
637,0,15,2020-03-24,tn
638,0,33,2020-03-24,up
639,0,4,2020-03-24,ut
640,1,9,2020-03-24,wb
641,0,9,2020-03-25,ap
642,1,3,2020-03-25,br
643,0,7,2020-03-25,ch
644,0,1,2020-03-25,ct
645,1,31,2020-03-25,dl
646,1,33,2020-03-25,gj
647,1,3,2020-03-25,hp
648,0,28,2020-03-25,hr
649,0,7,2020-03-25,jk
650,1,41,2020-03-25,ka
651,0,109,2020-03-25,kl
652,0,13,2020-03-25,la
653,2,101,2020-03-25,mh
654,0,1,2020-03-25,mn
655,0,9,2020-03-25,mp
656,0,1,2020-03-25,mz
657,0,2,2020-03-25,or
658,1,29,2020-03-25,pb
659,0,1,2020-03-25,py
660,0,32,2020-03-25,rj
661,0,35,2020-03-25,tg
662,0,18,2020-03-25,tn
663,0,35,2020-03-25,up
664,0,4,2020-03-25,ut
665,1,9,2020-03-25,wb
666,0,9,2020-03-25,ap
667,1,4,2020-03-25,br
668,0,7,2020-03-25,ch
669,0,1,2020-03-25,ct
670,1,31,2020-03-25,dl
671,1,38,2020-03-25,gj
672,1,3,2020-03-25,hp
673,0,28,2020-03-25,hr
674,0,7,2020-03-25,jk
675,1,41,2020-03-25,ka
676,0,109,2020-03-25,kl
677,0,13,2020-03-25,la
678,3,128,2020-03-25,mh
679,0,1,2020-03-25,mn
680,0,14,2020-03-25,mp
681,0,1,2020-03-25,mz
682,0,2,2020-03-25,or
683,1,29,2020-03-25,pb
684,0,1,2020-03-25,py
685,0,36,2020-03-25,rj
686,0,35,2020-03-25,tg
687,0,18,2020-03-25,tn
688,0,37,2020-03-25,up
689,0,4,2020-03-25,ut
690,1,9,2020-03-25,wb
691,0,11,2020-03-26,ap
692,1,3,2020-03-26,br
693,0,7,2020-03-26,ch
694,0,3,2020-03-26,ct
695,1,35,2020-03-26,dl
696,0,3,2020-03-26,ga
697,2,38,2020-03-26,gj
